,,Pre-VR Questionnaire,,,,,Post-VR Questionnaire,,,,,,,,,,,,,,,,,Factor Analysis,,,,,Trial Error,,,,Gaze Duration,
Group,Gender,Age,Education Level,VR Experience,3D Experience,SelfEsteem,there,real,lab*,behave,move,talk,feel,sameRoom,otherPercived,otherListen,alone*,correctAnswers,difficult*,doubts*,confidentAnswers,myOppinion*,otherOppinion,Presence,Perceived Behavioral Realism,Social Presence,Responses Confidence,Self-Reported Conformity,Conformity Error,Non-Conformity Error,Conmformity Index,Mean Response Time ,Look-At Duration,Mutual Gaze Duration
1,0,23,3,2,2,28,6,5,5,5,4,6,4,5,6,7,4,3,5,2,5,2,4,-0.074643,-0.188025,0.473358,-1.654107,0.219492,1,1,0,1.864417,76.941,7.24
0,0,18,1,2,2,27,5,6,2,4,4,5,5,7,4,4,2,7,5,6,1,7,7,-0.826596,-0.458271,-0.15837,-0.042499,2.772454,6,0,6,1.441167,460.834,18.38
1,1,25,3,5,2,22,6,5,6,4,4,5,5,7,7,6,5,5,3,2,2,1,2,0.124896,-0.458271,0.9608,-2.130886,-0.649245,3,1,2,2.432167,31.641,0
0,0,22,3,5,3,40,5,5,4,7,6,7,7,4,1,1,4,5,7,6,6,2,4,-0.749721,1.478738,-1.363139,0.869369,0.219492,0,1,-1,1.405583,53.361,2.5
1,0,22,3,3,2,29,3,1,2,2,3,5,2,3,2,5,5,5,5,3,4,2,4,-3.388695,-1.670961,-0.673196,-0.874273,0.219492,1,1,0,#NULL!,125.431,4.12
0,1,21,3,5,2,34,6,2,5,6,6,6,5,6,2,2,6,4,7,4,5,1,1,-1.041256,0.605083,-0.454496,-0.212136,-0.905063,2,0,2,1.1885,105.479,3.48
1,0,20,3,3,2,29,6,4,3,6,4,7,5,5,5,5,3,5,5,4,4,4,5,-0.795926,0.484494,-0.099207,-0.630758,1.189513,6,0,6,1.332167,9.38,0
0,1,34,3,1,5,31,7,4,5,5,4,5,5,6,3,5,7,6,7,2,5,1,1,0.078692,-0.249408,0.267702,0.054699,-0.905063,0,1,-1,1.863167,129.1,1.46
1,0,20,3,2,5,34,7,6,6,6,5,7,6,6,7,7,7,6,6,2,7,2,7,0.922639,0.877184,1.172423,0.200784,0.986947,5,0,5,1.629667,533.298,21.78
